-1170944,-4193792,2630656,-2059792,2048512,-6468608,5928448,-1006592,-3631632,-2361856,2003440,7387648,-1878544,6105072,2986480,-4323840,5409776,-1257488,-5928448,4848112,222704,-1327632,-4952080,7799280,3636208,507904,-3594768,-6398992,-7806480,7201792,4352496,1260528,-417792,-2983952,-4530192,-5248512,-6697472,-7982096,7802880,5511152,4183536,3403248,3068400,1731056,402416,-316416,-1300496,-2105872,-3587584,-4053504,-5205520,-5710352,-6762496,-7767568,-8070160,-8003584,-7936512,7497216,6564336,5405168,5542384,3922944,3351040,2699248,2585088,1623024,2023920,2390528,1417200,1929728
2354176,1802240,1854976,1785328,1595888,1071088,-306176,-297488,-326656,668160,912384,333312,66032,-28672,520704,-711680,-1129984,-1037840,-641552,268288,180224,-574464,-276480,-690192,-417296,194032,672768,-151552,-6672,570352,1636848,183296,808944,-198160,-198656,424960,-391168,-1140240,-781312,-752128,866816,1389552,1185792,1812464,864768,-330768,742384,739312,55296,-50176,-658432,527360,1088000,1308672,1193984,1303552,1265648,505344,737792,1439728,1489920,2092016,1874432,2589696,2887168,3029488,3852272,2966512,1970160,2226688
1373696,2245632,3000304,3063792,2927600,2150384,1820160,1710592,3040752,4009984,4246528,3469824,3831808,3970048,3863552,3111424,3778560,3162624,3143680,3055616,3450368,3782656,3689472,3238912,4894192,4095488,5393392,5868016,5953536,3887616,4434432,3479536,5020672,5933552,6564848,6649856,6818304,5115904,6307328,5604864,5915648,6051824,5731312,6495728,6695408,6543344,7183360,6653424,6076416,6014976,6632960,6061040,6400496,6567936,6909440,7274496,7814656,7923696,7854080,6452208,5805568,5585392,5624816,6100480,6352896,6811120,8265216,8179184,6744560,7644672
7172608,7087104,7247856,7523312,7838208,-7898624,8232944,8011776,7301632,6993920,7826432,-7778816,7812592,7858160,8186368,7651312,7859200,8001520,8225792,-7141376,-7580176,8348672,-7059984,-7857664,-6624784,-6559248,-7523856,-7008768,-7729680,-7027712,-7585792,-8070656,-7309312,-7389696,-8295952,-8322048,-7683600,-7371792,-6777344,-6393360,-6428176,-7362064,-7232512,-5779968,-6893584,-6948880,-8006144,7955456,-7822864,-6723600,-6979584,-7048192,-6469648,-6977040,-7114752,-6543376,-5653008,-5212672,-6558224,-5676560,-5817344,-6443008,-5615120,-5855248,-7565312,8289264,-7589904,-7164416,-7026176,-5611536
-6578688,-6002176,-5096464,-5437440,-5000192,-5679104,-6554112,-7410176,-6361616,-6768640,-4181008,-3414016,-5314576,-5981184,-6467088,-6071808,-6482432,-4945408,-4567568,-4521488,-4044288,-4543488,-3661824,-2592272,-4271104,-3340288,-4365840,-4761616,-4630528,-6188032,-5168144,-5447184,-4626960,-4662272,-4248080,-4053504,-4541440,-4164096,-5062656,-5180928,-4387840,-5136896,-4211728,-4078608,-1827344,-3416080,-3794944,-4959232,-4531200,-4420608,-4290560,-4196352,-4787216,-5642768,-5167120,-3990544,-4091904,-3240464,-4007936,-4218896,-3294208,-4805136,-5476352,-5317120,-3637264,-3985920,-5826064,-4859392,-4813824,-4145168
-3547136,-3597328,-3447312,-3924496,-4316688,-3345920,-4037136,-4740096,-4273680,-3605504,-3110912,-3172864,-3512832,-3001872,-3273728,-2453520,320512,-312336,-1804800,-364544,-2519568,-2734080,-2427408,-2445840,-2321920,-2475536,-2025984,-1622016,-2173968,-2063360,-969216,-1212432,-1938960,-2280960,-1857040,-2019856,-2195456,-1549312,-1642000,-3446800,-3443712,-3566608,-3612672,-3558928,-3038736,-1643520,-688640,-1272320,-1543184,-1927184,-3616768,-2574352,-590336,-831504,-952336,930800,-144896,-880640,-2137616,-1032704,812016,1477104,1039856,1029632,-1313808,-524304,-499216,-617984,-611840,-1545232
-1819664,-1503248,-815616,245760,295424,-408064,73216,-415232,25600,-1377296,-1679376,-1097744,-634896,-869904,-1522176,-1801744,-1465344,-236032,-1010704,39408,-227328,-52736,-18432,204784,868864,195568,-153088,-226304,-816640,307200,285184,-1514000,-1754128,-2256896,-827920,-1260048,-1476608,-1723408,-134672,36352,275456,1781760,1826800,2604544,2890752,2743296,1210864,1024000,285168,-274944,1816560,1290240,1750000,2712576,1731584,1051136,58864,-426000,1020416,-768528,508416,-24080,605168,1131008,278512,1480688,579584,860672,-907776,290288
112128,-8704,670208,615920,543744,-57872,1306112,1649152,3677696,3380208,3543024,4220400,2084848,1743344,2188784,1157104,945136,1922032,1809392,673264,493056,535552,274416,1024000,1729008,709632,1525232,1691120,1074176,1024496,2047488,2207728,2242032,-92176,127488,-915968,-450064,1334768,2070000,2304496,1287680,1928176,2358768,2202096,1164288,132096,745984,123904,1515008,1487344,2160112,2042864,2307056,2540032,2242560,1368064,1655792,3003904,3261440,1204736,1795056,3121648,4069888,3189744,2500608,3727344,2804208,2056176,562176,731648
314880,857072,1171968,1897472,3619328,4483072,3491328,3920368,2951664,3981296,3793904,2579968,2620912,1122800,510448,2002928,2666480,1547776,951280,394752,2145264,837616,1887216,4242944,5026304,4067840,4436992,4620784,3793920,2927600,3056640,2472944,3550720,2360320,2671600,1048048,1016304,-397312,-553472,-273424,978944,2156016,1930752,1864704,2854400,2589184,1923584,1339904,1229808,1959408,2315248,2252288,2739712,2225664,1715200,742400,760320,1172480,995328,1884672,2736640,1924592,2535408,2926080,2550272,2168320,2019328,2199040,1798656,1980928
1257472,1575920,2462192,1238512,2489856,2006528,1580544,1641968,1660416,2344960,2595840,3061248,3016704,1870832,1971696,2690032,2884608,2585072,3565056,3912688,3459056,3495936,3608048,2471424,1205232,1279472,1179120,892912,1175536,1576448,1521152,2303488,2912768,2427376,2695168,2435584,3422192,2550256,927216,1500144,1075200,-159248,158208,947712,1660928,2884608,2057728,2424304,3606016,3187696,2310144,2299888,2960896,2736640,2980864,890352,63472,601584,486896,-75280,117248,337408,-885760,-468496,-1972224,-2492928,-513536,1089536,3537392,1610224
