timestamp (us),"samples (I, Q)"
4078119,18,-14,17,-14,17,-14,16,-15,16,-16,16,-16,15,-16,15,-16,15,-18,15,-19,14,-19,13,-20,14,-21,14,-21,15,-21,15,-21,15,-20,16,-20,17,-19,17,-17,17,-16,18,-15,18,-14,18,-13,19,-13,4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-2,23,-6,23,-5,23,-4,24,-3,24,-3,24,-3,24,-1,25,1,24,1,22,0,23,0,23,0,23,0,22,-1,21,-2,20,-3,20,-4,21,-5,20,-5,19,-5,19,-6,19,-7,19,-9,19,-10,19,-11,18,-11
4078924,-11,21,-10,21,-10,21,-10,21,-8,20,-7,20,-6,20,-5,21,-5,22,-5,23,-5,22,-4,22,-4,24,-3,24,-3,25,-4,25,-5,25,-5,24,-5,24,-5,23,-7,22,-9,21,-10,21,-11,19,-13,19,-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,4,-20,16,-20,15,-21,14,-20,13,-21,13,-21,12,-21,11,-20,10,-19,9,-20,10,-21,10,-21,10,-21,10,-20,9,-19,10,-18,11,-16,12,-14,12,-14,13,-15,14,-14,14,-12,16,-13,17,-14,18,-13,19,-11,18
4079202,2,22,3,22,4,22,5,22,5,22,6,21,7,21,8,22,8,23,9,22,9,22,9,21,10,22,10,22,10,23,10,24,9,24,9,24,8,24,7,24,5,23,4,24,2,24,1,23,0,23,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,6,-5,24,-5,24,-6,23,-7,23,-8,23,-8,22,-8,22,-8,22,-9,21,-9,21,-10,21,-11,22,-10,21,-8,19,-8,19,-7,20,-5,19,-4,20,-3,21,-3,21,-3,20,-2,21,-1,22,-1,23,0,23,1,23
4084624,-9,-19,-10,-18,-11,-18,-11,-18,-11,-17,-12,-17,-13,-17,-13,-16,-13,-16,-14,-18,-15,-17,-15,-16,-15,-16,-16,-17,-16,-18,-15,-18,-15,-18,-15,-18,-14,-19,-14,-19,-12,-19,-11,-18,-9,-19,-8,-19,-7,-20,-2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-6,-3,-22,-2,-23,-1,-23,0,-22,0,-22,1,-22,1,-22,2,-23,2,-22,3,-21,3,-22,2,-21,2,-21,2,-20,1,-19,0,-19,-1,-18,-1,-17,-2,-18,-3,-18,-4,-18,-5,-18,-6,-19,-6,-19,-7,-19,-7,-20
4085497,-9,19,-9,20,-8,20,-6,20,-5,21,-5,21,-5,21,-3,22,-2,22,0,22,-1,22,-1,22,-1,23,-1,24,-1,24,-2,25,-3,26,-3,25,-4,25,-6,24,-7,23,-8,22,-9,22,-10,20,-10,19,-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,5,-14,20,-16,19,-17,18,-18,17,-18,17,-18,16,-18,16,-18,17,-17,16,-18,15,-19,15,-18,15,-17,15,-17,14,-17,14,-17,14,-15,13,-13,13,-12,15,-12,16,-12,16,-11,17,-10,18,-10,19,-10,20,-10,21
4085821,-7,-23,-7,-22,-8,-22,-8,-21,-8,-21,-9,-20,-10,-20,-11,-20,-11,-20,-11,-20,-13,-20,-14,-20,-14,-21,-14,-21,-14,-22,-13,-22,-13,-23,-12,-24,-12,-23,-11,-23,-9,-23,-7,-23,-7,-23,-6,-23,-5,-24,-2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-7,0,-25,1,-25,2,-24,3,-24,4,-24,5,-24,7,-24,7,-22,7,-22,5,-22,4,-23,4,-23,4,-23,4,-22,3,-22,3,-22,3,-22,3,-21,1,-20,-1,-20,-1,-21,-1,-21,-3,-21,-5,-21,-6,-22,-6,-23
4086307,-4,-24,-3,-22,-3,-22,-4,-22,-5,-22,-6,-21,-6,-21,-8,-21,-9,-21,-10,-21,-11,-20,-11,-21,-12,-23,-12,-24,-11,-24,-11,-24,-10,-25,-10,-25,-8,-24,-7,-23,-6,-23,-5,-23,-4,-23,-3,-24,-1,-25,-1,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,6,-25,7,-24,8,-23,8,-23,9,-22,10,-22,11,-22,12,-21,12,-21,11,-20,10,-20,10,-21,10,-21,9,-21,9,-20,8,-20,7,-19,5,-18,5,-20,4,-21,3,-21,3,-22,1,-22,0,-22,0,-22,-1,-23
4086570,8,-22,8,-23,6,-22,6,-21,5,-22,4,-22,4,-22,3,-23,3,-24,2,-24,2,-24,2,-25,2,-26,2,-26,2,-26,2,-26,2,-26,2,-26,3,-26,5,-25,6,-24,8,-24,9,-23,10,-22,10,-21,2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-5,15,-19,15,-19,16,-19,17,-18,18,-17,19,-16,19,-17,19,-17,18,-17,18,-15,19,-15,20,-14,19,-15,18,-15,16,-15,14,-14,15,-14,15,-14,13,-15,11,-17,10,-17,10,-16,10,-17,11,-18,11,-19,10,-21
4094711,-19,-14,-19,-13,-19,-13,-19,-12,-20,-12,-20,-11,-21,-11,-21,-10,-22,-9,-24,-7,-23,-7,-23,-7,-23,-8,-24,-8,-25,-9,-25,-10,-24,-11,-23,-12,-23,-13,-22,-14,-21,-14,-20,-13,-20,-14,-19,-15,-18,-15,-5,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-5,-14,-21,-13,-22,-13,-22,-12,-22,-11,-22,-10,-22,-9,-23,-9,-22,-9,-22,-9,-23,-9,-24,-9,-23,-9,-22,-9,-21,-9,-20,-10,-20,-10,-20,-9,-20,-10,-18,-13,-17,-13,-16,-13,-16,-15,-16,-16,-15,-16,-15,-17,-15
4095484,4,22,7,22,7,21,7,21,7,21,8,20,9,20,9,19,10,20,10,20,11,19,12,19,13,20,14,20,14,20,13,21,12,22,12,23,10,23,9,23,8,23,7,23,6,23,5,22,3,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,25,-2,24,-3,24,-4,24,-5,24,-6,24,-7,24,-8,23,-8,22,-7,22,-7,22,-7,22,-6,22,-5,21,-5,20,-5,20,-3,20,-1,19,-1,20,-1,20,0,20,1,21,2,21,2,21,3,22,3,23
4095908,-20,1,-21,1,-21,2,-21,3,-21,3,-21,3,-20,4,-19,5,-20,5,-21,6,-20,7,-20,7,-20,7,-21,8,-22,8,-22,7,-22,7,-22,5,-22,4,-22,4,-22,3,-22,1,-22,1,-21,0,-20,-1,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-2,-21,-7,-20,-8,-21,-9,-21,-10,-20,-11,-20,-12,-19,-12,-19,-13,-19,-13,-19,-12,-18,-12,-18,-12,-17,-11,-17,-10,-17,-10,-18,-10,-18,-7,-19,-6,-19,-6,-18,-6,-19,-5,-18,-5,-19,-4,-20,-3,-21,-3,-21,-2
4096230,20,-4,20,-5,19,-6,19,-6,19,-6,19,-7,19,-7,18,-9,18,-10,19,-10,19,-10,18,-10,18,-11,19,-11,19,-11,20,-11,21,-10,21,-10,21,-9,21,-7,20,-6,20,-4,20,-4,20,-3,20,-1,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,2,21,2,21,3,21,4,21,5,21,5,21,6,21,7,20,7,19,7,19,8,19,7,19,6,18,6,18,5,18,4,16,3,15,1,17,1,18,2,18,1,18,-1,19,-1,20,-1,21,-2,21,-2
4096588,-17,17,-16,17,-16,18,-14,18,-13,18,-13,19,-12,19,-11,20,-11,20,-12,21,-11,20,-11,20,-10,21,-10,22,-10,23,-12,23,-13,23,-14,23,-15,22,-15,20,-16,18,-17,17,-18,16,-18,15,-17,14,-5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,3,-21,12,-22,11,-23,10,-23,10,-23,9,-24,8,-24,8,-24,8,-23,7,-23,7,-24,7,-24,7,-22,7,-21,6,-21,7,-20,8,-19,9,-18,9,-18,9,-18,10,-18,11,-18,13,-18,13,-18,14,-18,15,-17,17
4104557,4,21,4,21,5,20,7,20,8,20,8,20,9,19,9,19,11,19,13,19,13,19,13,18,14,19,15,20,15,21,14,22,13,22,13,22,13,22,12,21,10,21,8,21,8,21,7,21,5,22,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5,-8,23,-9,22,-10,22,-11,21,-11,21,-11,21,-11,21,-11,21,-11,20,-12,20,-12,21,-11,20,-10,19,-10,19,-9,19,-8,20,-8,20,-8,19,-5,19,-3,20,-2,20,-1,20,0,20,0,21,0,22,0,22
4105107,-22,6,-21,6,-21,6,-21,7,-20,8,-20,9,-20,11,-20,11,-20,11,-21,13,-20,13,-20,12,-20,14,-21,15,-21,14,-21,13,-22,13,-21,13,-22,13,-22,11,-22,10,-22,8,-22,7,-22,6,-22,5,-6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-2,-25,-6,-24,-7,-24,-7,-24,-9,-23,-9,-24,-9,-24,-8,-22,-8,-21,-8,-22,-10,-22,-10,-21,-10,-20,-10,-20,-9,-20,-8,-21,-7,-20,-6,-20,-6,-20,-4,-22,-1,-22,-1,-22,0,-22,0,-23,1,-23,1,-23,1
4105491,-17,16,-16,16,-15,16,-15,16,-15,17,-14,17,-13,18,-12,19,-12,20,-11,21,-11,21,-11,20,-11,21,-11,22,-12,22,-12,22,-13,22,-13,22,-13,21,-14,20,-16,19,-17,18,-17,16,-17,14,-17,13,-5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,-23,9,-23,9,-24,8,-24,7,-24,6,-23,5,-24,5,-24,3,-24,3,-24,3,-23,3,-23,3,-23,3,-22,4,-21,4,-20,5,-19,7,-17,8,-18,8,-19,9,-18,9,-19,10,-19,11,-19,12,-19,12,-18,12
4105805,-16,16,-16,15,-16,16,-15,17,-14,17,-14,18,-14,18,-14,18,-12,19,-11,20,-11,21,-11,22,-11,22,-12,21,-12,22,-13,23,-13,22,-13,22,-13,20,-14,19,-15,18,-15,18,-16,18,-17,16,-17,16,-5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,-24,9,-24,9,-25,8,-25,7,-25,5,-24,4,-25,4,-27,4,-26,3,-25,3,-24,3,-24,3,-23,3,-22,3,-21,3,-21,5,-20,5,-18,5,-19,7,-21,8,-20,10,-19,11,-19,11,-18,12,-17,13,-18,12
